Date,daily_sum_ill,daily_sum_dead,daily_sum_recovered
2020-02-26T00:00:00Z,1,0,1
2020-02-29T00:00:00Z,2,0,2
2020-03-06T00:00:00Z,2,0,2
2020-03-07T00:00:00Z,2,0,2
2020-03-08T00:00:00Z,2,0,2
2020-03-09T00:00:00Z,3,0,3
2020-03-10T00:00:00Z,2,0,2
2020-03-11T00:00:00Z,6,0,6
2020-03-12T00:00:00Z,15,0,15
2020-03-13T00:00:00Z,9,0,9
2020-03-14T00:00:00Z,4,1,3
2020-03-15T00:00:00Z,9,1,8
2020-03-16T00:00:00Z,15,0,15
2020-03-17T00:00:00Z,27,1,26
2020-03-18T00:00:00Z,38,1,37
2020-03-19T00:00:00Z,27,0,27
2020-03-20T00:00:00Z,42,5,37
2020-03-21T00:00:00Z,10,1,9
2020-03-22T00:00:00Z,12,2,10
2020-03-23T00:00:00Z,12,1,11
2020-03-24T00:00:00Z,43,3,40
2020-03-25T00:00:00Z,15,3,12
2020-03-26T00:00:00Z,42,3,39
2020-03-27T00:00:00Z,37,2,35
2020-03-28T00:00:00Z,33,5,28
2020-03-29T00:00:00Z,19,3,16
2020-03-30T00:00:00Z,34,3,31
2020-03-31T00:00:00Z,45,1,44
2020-04-01T00:00:00Z,52,4,48
2020-04-02T00:00:00Z,42,6,36
2020-04-03T00:00:00Z,52,5,47
2020-04-04T00:00:00Z,16,2,14
2020-04-05T00:00:00Z,8,0,8
2020-04-06T00:00:00Z,29,1,28
2020-04-07T00:00:00Z,26,4,22
2020-04-08T00:00:00Z,43,9,34
2020-04-09T00:00:00Z,45,6,39
2020-04-10T00:00:00Z,21,1,20
2020-04-11T00:00:00Z,3,1,2
2020-04-12T00:00:00Z,13,0,13
2020-04-13T00:00:00Z,2,0,2
2020-04-14T00:00:00Z,7,0,7
2020-04-15T00:00:00Z,9,1,8
2020-04-16T00:00:00Z,13,1,12
2020-04-17T00:00:00Z,15,0,15
2020-04-18T00:00:00Z,7,0,7
2020-04-19T00:00:00Z,4,0,4
2020-04-20T00:00:00Z,6,1,5
2020-04-21T00:00:00Z,6,1,5
2020-04-22T00:00:00Z,3,0,3
2020-04-23T00:00:00Z,1,0,1
2020-04-24T00:00:00Z,7,0,7
2020-04-27T00:00:00Z,2,0,2
2020-04-28T00:00:00Z,2,0,2
2020-04-29T00:00:00Z,1,0,1
2020-05-05T00:00:00Z,2,0,2
2020-05-06T00:00:00Z,1,0,1
2020-05-07T00:00:00Z,1,0,1
2020-05-08T00:00:00Z,1,0,1
2020-05-10T00:00:00Z,1,0,1
2020-05-11T00:00:00Z,1,0,1
2020-05-14T00:00:00Z,2,0,2
2020-05-15T00:00:00Z,1,0,1
2020-05-16T00:00:00Z,1,0,1
2020-05-17T00:00:00Z,1,0,1
2020-05-18T00:00:00Z,2,0,2
2020-05-19T00:00:00Z,2,0,2
2020-05-20T00:00:00Z,2,0,2
2020-05-21T00:00:00Z,1,0,1
2020-05-22T00:00:00Z,2,0,2
2020-05-23T00:00:00Z,1,0,1
2020-05-25T00:00:00Z,1,0,1
2020-05-28T00:00:00Z,1,0,1
2020-06-02T00:00:00Z,2,0,2
2020-06-03T00:00:00Z,1,0,1
2020-06-08T00:00:00Z,1,0,1
2020-06-09T00:00:00Z,1,0,1
2020-06-18T00:00:00Z,1,0,1
2020-06-19T00:00:00Z,1,0,1
2020-06-22T00:00:00Z,1,0,1
2020-06-26T00:00:00Z,1,0,1
2020-07-04T00:00:00Z,1,0,1
2020-07-06T00:00:00Z,1,0,1
2020-07-09T00:00:00Z,1,0,1
2020-07-10T00:00:00Z,2,0,2
2020-07-11T00:00:00Z,3,0,3
2020-07-12T00:00:00Z,1,0,1
2020-07-13T00:00:00Z,2,0,2
2020-07-14T00:00:00Z,1,0,1
2020-07-15T00:00:00Z,2,1,1
2020-07-16T00:00:00Z,1,0,1
2020-07-17T00:00:00Z,1,0,1
2020-07-18T00:00:00Z,1,0,1
2020-07-21T00:00:00Z,2,1,1
2020-07-23T00:00:00Z,1,0,1
2020-07-28T00:00:00Z,1,0,1
2020-07-29T00:00:00Z,1,0,1
2020-07-31T00:00:00Z,5,0,5
2020-08-01T00:00:00Z,3,0,3
2020-08-04T00:00:00Z,2,0,2
2020-08-05T00:00:00Z,3,0,3
2020-08-07T00:00:00Z,4,0,4
2020-08-08T00:00:00Z,2,0,2
2020-08-09T00:00:00Z,1,0,1
2020-08-11T00:00:00Z,3,0,3
2020-08-12T00:00:00Z,6,0,6
2020-08-13T00:00:00Z,8,0,8
2020-08-14T00:00:00Z,3,0,3
2020-08-15T00:00:00Z,4,0,4
2020-08-17T00:00:00Z,3,0,3
2020-08-18T00:00:00Z,4,0,4
2020-08-19T00:00:00Z,3,0,3
2020-08-20T00:00:00Z,5,0,5
2020-08-21T00:00:00Z,1,0,1
2020-08-22T00:00:00Z,10,0,10
2020-08-23T00:00:00Z,1,0,1
2020-08-24T00:00:00Z,5,0,5
2020-08-25T00:00:00Z,3,0,3
2020-08-26T00:00:00Z,6,0,6
2020-08-27T00:00:00Z,3,0,3
2020-08-28T00:00:00Z,8,0,8
2020-08-29T00:00:00Z,2,0,2
2020-08-30T00:00:00Z,5,0,5
2020-08-31T00:00:00Z,7,0,7
2020-09-01T00:00:00Z,2,0,2
2020-09-02T00:00:00Z,5,0,5
2020-09-03T00:00:00Z,7,0,7
2020-09-04T00:00:00Z,5,0,5
2020-09-05T00:00:00Z,8,0,8
2020-09-07T00:00:00Z,2,0,2
2020-09-08T00:00:00Z,3,0,3
2020-09-09T00:00:00Z,3,0,3
2020-09-10T00:00:00Z,9,0,9
2020-09-11T00:00:00Z,4,0,4
2020-09-12T00:00:00Z,1,0,1
2020-09-13T00:00:00Z,2,0,2
2020-09-14T00:00:00Z,7,0,7
2020-09-15T00:00:00Z,15,0,15
2020-09-16T00:00:00Z,7,0,7
2020-09-17T00:00:00Z,7,0,7
2020-09-18T00:00:00Z,18,0,18
2020-09-19T00:00:00Z,1,0,1
2020-09-20T00:00:00Z,2,0,2
2020-09-21T00:00:00Z,4,0,4
2020-09-22T00:00:00Z,10,0,10
2020-09-23T00:00:00Z,10,0,10
2020-09-24T00:00:00Z,5,0,5
2020-09-25T00:00:00Z,14,0,14
2020-09-26T00:00:00Z,2,0,2
2020-09-28T00:00:00Z,3,0,3
2020-09-29T00:00:00Z,3,0,3
2020-09-30T00:00:00Z,5,0,5
2020-10-01T00:00:00Z,11,0,11
2020-10-02T00:00:00Z,14,0,14
2020-10-03T00:00:00Z,2,0,2
2020-10-04T00:00:00Z,2,0,2
2020-10-05T00:00:00Z,7,0,7
2020-10-06T00:00:00Z,12,0,12
2020-10-07T00:00:00Z,14,0,14
2020-10-08T00:00:00Z,7,0,7
2020-10-09T00:00:00Z,17,0,17
2020-10-10T00:00:00Z,9,0,9
2020-10-11T00:00:00Z,12,0,12
2020-10-12T00:00:00Z,12,0,12
2020-10-13T00:00:00Z,18,0,18
2020-10-14T00:00:00Z,22,0,22
2020-10-15T00:00:00Z,21,0,21
2020-10-16T00:00:00Z,20,0,20
2020-10-17T00:00:00Z,22,0,22
2020-10-18T00:00:00Z,17,0,17
2020-10-19T00:00:00Z,18,0,18
2020-10-20T00:00:00Z,34,1,33
2020-10-21T00:00:00Z,19,0,19
2020-10-22T00:00:00Z,47,0,47
2020-10-23T00:00:00Z,34,1,33
2020-10-24T00:00:00Z,37,0,37
2020-10-25T00:00:00Z,17,0,17
2020-10-26T00:00:00Z,44,0,44
2020-10-27T00:00:00Z,42,0,42
2020-10-28T00:00:00Z,74,0,74
2020-10-29T00:00:00Z,48,1,47
2020-10-30T00:00:00Z,78,1,77
2020-10-31T00:00:00Z,8,0,8
2020-11-01T00:00:00Z,50,0,50
2020-11-02T00:00:00Z,21,1,20
2020-11-03T00:00:00Z,56,0,56
2020-11-04T00:00:00Z,23,0,23
2020-11-05T00:00:00Z,23,0,23
2020-11-06T00:00:00Z,37,0,37
2020-11-07T00:00:00Z,38,0,38
2020-11-08T00:00:00Z,12,0,12
2020-11-09T00:00:00Z,12,0,12
2020-11-10T00:00:00Z,26,1,25
2020-11-11T00:00:00Z,14,0,14
2020-11-12T00:00:00Z,43,0,43
2020-11-13T00:00:00Z,37,0,37
2020-11-14T00:00:00Z,46,1,45
2020-11-15T00:00:00Z,10,0,10
2020-11-16T00:00:00Z,6,0,6
2020-11-17T00:00:00Z,34,1,33
2020-11-18T00:00:00Z,45,1,44
2020-11-19T00:00:00Z,35,2,33
2020-11-20T00:00:00Z,41,1,40
2020-11-21T00:00:00Z,23,1,22
2020-11-22T00:00:00Z,14,1,13
2020-11-23T00:00:00Z,17,0,17
2020-11-24T00:00:00Z,38,1,37
2020-11-25T00:00:00Z,30,0,30
2020-11-26T00:00:00Z,49,3,46
2020-11-27T00:00:00Z,37,1,36
2020-11-28T00:00:00Z,38,0,38
2020-11-29T00:00:00Z,12,0,12
2020-11-30T00:00:00Z,12,0,12
2020-12-01T00:00:00Z,36,1,35
2020-12-02T00:00:00Z,43,1,42
2020-12-03T00:00:00Z,51,2,49
2020-12-04T00:00:00Z,28,1,27
2020-12-05T00:00:00Z,41,1,40
2020-12-06T00:00:00Z,35,0,35
2020-12-07T00:00:00Z,25,0,25
2020-12-08T00:00:00Z,75,2,73
2020-12-09T00:00:00Z,65,2,63
2020-12-10T00:00:00Z,64,2,62
2020-12-11T00:00:00Z,55,0,55
2020-12-12T00:00:00Z,50,0,50
2020-12-13T00:00:00Z,26,1,25
2020-12-14T00:00:00Z,41,0,41
2020-12-15T00:00:00Z,60,1,59
2020-12-16T00:00:00Z,50,1,49
2020-12-17T00:00:00Z,65,0,65
2020-12-18T00:00:00Z,49,1,48
2020-12-19T00:00:00Z,48,1,47
2020-12-20T00:00:00Z,16,0,16
2020-12-21T00:00:00Z,25,0,25
2020-12-22T00:00:00Z,43,0,43
2020-12-23T00:00:00Z,43,1,42
2020-12-24T00:00:00Z,127,4,123
2020-12-25T00:00:00Z,24,0,24
2020-12-26T00:00:00Z,14,0,14
2020-12-27T00:00:00Z,13,0,13
2020-12-28T00:00:00Z,32,2,30
2020-12-29T00:00:00Z,68,2,66
2020-12-30T00:00:00Z,56,1,55
2020-12-31T00:00:00Z,29,0,29
2021-01-01T00:00:00Z,32,1,31
2021-01-02T00:00:00Z,9,0,9
2021-01-03T00:00:00Z,8,0,8
2021-01-04T00:00:00Z,32,0,32
2021-01-05T00:00:00Z,48,0,48
2021-01-06T00:00:00Z,52,0,52
2021-01-07T00:00:00Z,53,2,51
2021-01-08T00:00:00Z,30,1,29
2021-01-09T00:00:00Z,12,1,11
2021-01-10T00:00:00Z,41,0,41
2021-01-11T00:00:00Z,15,0,15
2021-01-12T00:00:00Z,28,0,28
2021-01-13T00:00:00Z,37,1,36
2021-01-14T00:00:00Z,25,1,24
2021-01-15T00:00:00Z,28,1,27
2021-01-16T00:00:00Z,6,0,6
2021-01-17T00:00:00Z,18,0,18
