Date,daily_sum
2020-02-26T00:00:00Z,1
2020-02-29T00:00:00Z,2
2020-03-06T00:00:00Z,2
2020-03-07T00:00:00Z,2
2020-03-08T00:00:00Z,2
2020-03-09T00:00:00Z,3
2020-03-10T00:00:00Z,2
2020-03-11T00:00:00Z,6
2020-03-12T00:00:00Z,15
2020-03-13T00:00:00Z,9
2020-03-14T00:00:00Z,4
2020-03-15T00:00:00Z,9
2020-03-16T00:00:00Z,15
2020-03-17T00:00:00Z,27
2020-03-18T00:00:00Z,38
2020-03-19T00:00:00Z,27
2020-03-20T00:00:00Z,43
2020-03-21T00:00:00Z,10
2020-03-22T00:00:00Z,12
2020-03-23T00:00:00Z,12
2020-03-24T00:00:00Z,43
2020-03-25T00:00:00Z,15
2020-03-26T00:00:00Z,42
2020-03-27T00:00:00Z,37
2020-03-28T00:00:00Z,33
2020-03-29T00:00:00Z,19
2020-03-30T00:00:00Z,34
2020-03-31T00:00:00Z,45
2020-04-01T00:00:00Z,52
2020-04-02T00:00:00Z,42
2020-04-03T00:00:00Z,52
2020-04-04T00:00:00Z,16
2020-04-05T00:00:00Z,8
2020-04-06T00:00:00Z,29
2020-04-07T00:00:00Z,25
2020-04-08T00:00:00Z,43
2020-04-09T00:00:00Z,45
2020-04-10T00:00:00Z,21
2020-04-11T00:00:00Z,3
2020-04-12T00:00:00Z,13
2020-04-13T00:00:00Z,2
2020-04-14T00:00:00Z,7
2020-04-15T00:00:00Z,9
2020-04-16T00:00:00Z,13
2020-04-17T00:00:00Z,15
2020-04-18T00:00:00Z,7
2020-04-19T00:00:00Z,4
2020-04-20T00:00:00Z,6
2020-04-21T00:00:00Z,6
2020-04-22T00:00:00Z,3
2020-04-23T00:00:00Z,1
2020-04-24T00:00:00Z,7
2020-04-27T00:00:00Z,2
2020-04-28T00:00:00Z,2
2020-04-29T00:00:00Z,1
2020-05-05T00:00:00Z,2
2020-05-06T00:00:00Z,1
2020-05-07T00:00:00Z,1
2020-05-08T00:00:00Z,1
2020-05-10T00:00:00Z,1
2020-05-11T00:00:00Z,1
2020-05-14T00:00:00Z,2
2020-05-15T00:00:00Z,1
2020-05-16T00:00:00Z,1
2020-05-17T00:00:00Z,1
2020-05-18T00:00:00Z,2
2020-05-19T00:00:00Z,2
2020-05-20T00:00:00Z,2
2020-05-21T00:00:00Z,1
2020-05-22T00:00:00Z,2
2020-05-23T00:00:00Z,1
2020-05-25T00:00:00Z,1
2020-05-28T00:00:00Z,1
2020-06-02T00:00:00Z,2
2020-06-03T00:00:00Z,1
2020-06-08T00:00:00Z,1
2020-06-09T00:00:00Z,1
2020-06-18T00:00:00Z,1
2020-06-19T00:00:00Z,1
2020-06-22T00:00:00Z,1
2020-06-26T00:00:00Z,1
2020-07-04T00:00:00Z,1
2020-07-06T00:00:00Z,1
